Thumbnails	Name	Execution Cost	Vertices	Vertices Reused	Pixels per Vertex	
-	546 Compute Encoder 0 0x79f00c8c0	3.520%	0 	0.00%	0.00 	
-	1501 Compute Encoder 0 0x79f00dfe0	4.917%	0 	0.00%	0.00 	
-	2615 Compute Encoder 0 0x79f00e260	3.781%	0 	0.00%	0.00 	
-	3851 Compute Encoder 0 0x79f00e580	4.763%	0 	0.00%	0.00 	
-	5096 Compute Encoder 0 0x79f00e940	4.826%	0 	0.00%	0.00 	
-	6329 Compute Encoder 0 0x79f00ed00	4.533%	0 	0.00%	0.00 	
-	7539 Compute Encoder 0 0x79f00f0c0	4.007%	0 	0.00%	0.00 	
-	8772 Compute Encoder 0 0x79f00f480	4.915%	0 	0.00%	0.00 	
-	10012 Compute Encoder 0 0x79f00f840	4.514%	0 	0.00%	0.00 	
-	10974 Compute Encoder 0 0x79f00fac0	9.740%	0 	0.00%	0.00 	
-	11333 Compute Encoder 0 0x79f00fe80	0.570%	0 	0.00%	0.00 	
-	11823 Compute Encoder 0 0x7a0834280	0.003%	0 	0.00%	0.00 	
-	12189 Compute Encoder 0 0x7a0834320	3.747%	0 	0.00%	0.00 	
-	13138 Compute Encoder 0 0x7a08343c0	3.743%	0 	0.00%	0.00 	
-	14105 Compute Encoder 0 0x7a0834460	4.650%	0 	0.00%	0.00 	
-	15089 Compute Encoder 0 0x7a08345a0	4.232%	0 	0.00%	0.00 	
-	16051 Compute Encoder 0 0x7a0834640	4.179%	0 	0.00%	0.00 	
-	17039 Compute Encoder 0 0x7a0834780	4.813%	0 	0.00%	0.00 	
-	18011 Compute Encoder 0 0x7a0834960	3.598%	0 	0.00%	0.00 	
-	18976 Compute Encoder 0 0x7a0834b40	4.851%	0 	0.00%	0.00 	
-	19952 Compute Encoder 0 0x7a0834d20	3.857%	0 	0.00%	0.00 	
-	20919 Compute Encoder 0 0x7a0834f00	11.487%	0 	0.00%	0.00 	
-	21903 Compute Encoder 0 0x7a0834280	0.749%	0 	0.00%	0.00 	
