Thumbnails	Name	Execution Cost	Depth Texture Device Memory Bytes Written	Depth Texture Device Memory Bytes Written	Depth Texture Device Memory Bytes Read	Depth Texture Device Memory Bytes Read	Depth Test Utilization	Depth Test Utilization	Depth Load Utilization	Depth Load Utilization	Pixels Rasterized	Fragments Rasterized per Primitive	Fragment Generator Primitive Processing	Rasterizer Sample Processing	PreZ Test Fails	Depth Texture Bytes Loaded	Depth Texture Device Memory Bytes Read	Depth Test Utilization	Depth Load Utilization	Depth Store Utilization	Depth Texture Bytes Stored	Depth Texture Device Memory Bytes Written	
-	546 Compute Encoder 0 0x79f00c8c0	3.520%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	1501 Compute Encoder 0 0x79f00dfe0	4.917%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	2615 Compute Encoder 0 0x79f00e260	3.781%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	3851 Compute Encoder 0 0x79f00e580	4.763%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	5096 Compute Encoder 0 0x79f00e940	4.826%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	6329 Compute Encoder 0 0x79f00ed00	4.533%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	7539 Compute Encoder 0 0x79f00f0c0	4.007%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	8772 Compute Encoder 0 0x79f00f480	4.915%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	10012 Compute Encoder 0 0x79f00f840	4.514%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	10974 Compute Encoder 0 0x79f00fac0	9.740%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	11333 Compute Encoder 0 0x79f00fe80	0.570%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	11823 Compute Encoder 0 0x7a0834280	0.003%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	12189 Compute Encoder 0 0x7a0834320	3.747%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	13138 Compute Encoder 0 0x7a08343c0	3.743%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	14105 Compute Encoder 0 0x7a0834460	4.650%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	15089 Compute Encoder 0 0x7a08345a0	4.232%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	16051 Compute Encoder 0 0x7a0834640	4.179%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	17039 Compute Encoder 0 0x7a0834780	4.813%	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
