Thumbnails	Name	Execution Cost	Occupancy Manager Target	Occupancy Manager Target	Device Memory Bandwidth	GPU Read Bandwidth	GPU Write Bandwidth	Last Level Cache Bandwidth	Bytes Read From Device Memory	Bytes Written To Device Memory	Last Level Cache Bytes Read	Last Level Cache Bytes Written	Last Level Cache Miss Rate	Buffer L1 Miss Rate	Buffer Device Memory Bytes Read	Buffer Device Memory Bytes Written	Texture L1 Bytes Read	Texture Cache Miss Rate	Texture Device Memory Bytes Read	Texture Device Memory Bytes Written	Device Atomic Bytes Read	Device Atomic Bytes Written	Depth Texture Device Memory Bytes Written	Depth Texture Device Memory Bytes Read	Depth Test Utilization	Depth Load Utilization	MMU TLB Miss Rate	L1 Cache Limiter	L1 Cache Utilization	ThreadGroup L1 Read Accesses	Buffer L1 Read Accesses	ImageBlock L1 Read Accesses	Stack L1 Read Accesses	Register L1 Read Accesses	RT Scratch L1 Read Accesses	Other L1 Read Accesses	ThreadGroup L1 Write Accesses	ThreadGroup L1 Write Accesses	ThreadGroup L1 Write Accesses	ImageBlock L1 Write Accesses	Stack L1 Write Accesses	RT Scratch L1 Write Accesses	Register L1 Write Accesses	ThreadGroup L1 Write Accesses	Buffer L1 Write Accesses	Other L1 Write Accesses	L1 Write Bandwidth	L1 Read Bandwidth	Threadgroup Memory L1 Read Bandwidth	Threadgroup Memory L1 Write Bandwidth	Threadgroup Memory L1 Write Bandwidth	Threadgroup Memory L1 Write Bandwidth	Imageblock L1 Read Bandwidth	Imageblock L1 Write Bandwidth	Unclassified L1 Read Bandwidth	Unclassified L1 Write Bandwidth	Register L1 Read Bandwidth	Register L1 Write Bandwidth	Stack L1 Read Bandwidth	Stack L1 Write Bandwidth	Buffer L1 Read Bandwidth	Buffer L1 Write Bandwidth	RT Scratch L1 Read Bandwidth	RT Scratch L1 Write Bandwidth	Threadgroup Memory L1 Write Bandwidth	L1 Register Residency	L1 Buffer Residency	L1 Stack Residency	L1 Threadgroup Residency	L1 Imageblock Residency	L1 Total Residency	L1 RT Scratch Residency	L1 RT Scratch Residency	L1 RT Scratch Residency	L1 Other Residency	Occupancy Manager Target	L1 Eviction Rate	L1 RT Scratch Residency	
-	546 Compute Encoder 0 0x79f00c8c0	3.520%	100.00%	100.00%	8.6030 GiB/s	7.5778 GiB/s	1.0252 GiB/s	0.0268 GiB/s	2.21 MiB	305.56 KiB	67.50 KiB	3.56 KiB	50.00%	80.11 	0 bytes	64 bytes	0 bytes	0.00%	0 bytes	41.25 KiB	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	67.85%	0.91%	0.91%	0.58%	93.48%	0.00%	0.04%	2.27%	0.00%	0.15%	0.60%	0.60%	0.60%	0.00%	0.04%	0.00%	2.55%	0.60%	0.12%	0.18%	5.8740 GiB/s	162.5638 GiB/s	0.9725 GiB/s	1.0029 GiB/s	1.0029 GiB/s	1.0029 GiB/s	0 GiB/s	0 GiB/s	0.2554 GiB/s	0.3096 GiB/s	3.8214 GiB/s	4.2894 GiB/s	0.0621 GiB/s	0.0621 GiB/s	157.4525 GiB/s	0.2100 GiB/s	0 GiB/s	0 GiB/s	1.0029 GiB/s	0.36%	22.64%	0.00%	0.01%	0.00%	23.07%	0.00%	0.00%	0.00%	0.07%	100.00%	0.00%	0.00%	
-	1501 Compute Encoder 0 0x79f00dfe0	4.917%	97.80%	97.80%	0.1049 GiB/s	0.0013 GiB/s	0.1036 GiB/s	0.0118 GiB/s	512 bytes	39.44 KiB	49.12 KiB	141.62 KiB	100.00%	79.31 	14.50 KiB	0 bytes	0 bytes	0.00%	0 bytes	960 bytes	6.00 KiB	6.00 KiB	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.97%	0.97%	0.50%	79.07%	3.72%	0.03%	1.98%	0.00%	4.19%	0.52%	0.52%	0.52%	3.74%	0.03%	0.00%	2.22%	0.52%	0.10%	3.92%	20.7016 GiB/s	176.1340 GiB/s	0.9834 GiB/s	1.0142 GiB/s	1.0142 GiB/s	1.0142 GiB/s	7.3141 GiB/s	7.3635 GiB/s	8.2553 GiB/s	7.7103 GiB/s	3.8980 GiB/s	4.3612 GiB/s	0.0512 GiB/s	0.0514 GiB/s	155.6320 GiB/s	0.2010 GiB/s	0 GiB/s	0 GiB/s	1.0142 GiB/s	0.34%	22.00%	0.00%	0.01%	0.15%	22.57%	0.00%	0.00%	0.00%	0.08%	97.80%	0.00%	0.00%	
-	2615 Compute Encoder 0 0x79f00e260	3.781%	90.13%	90.13%	0.4837 GiB/s	0.0016 GiB/s	0.4822 GiB/s	0.0144 GiB/s	512 bytes	151.19 KiB	11.00 KiB	6.12 KiB	100.00%	79.97 	448 bytes	0 bytes	0 bytes	0.00%	24.69 KiB	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.88%	0.88%	0.74%	93.16%	0.00%	0.04%	2.25%	0.00%	0.16%	0.76%	0.76%	0.76%	0.00%	0.04%	0.00%	2.54%	0.76%	0.13%	0.19%	6.3100 GiB/s	166.4912 GiB/s	1.2743 GiB/s	1.3142 GiB/s	1.3142 GiB/s	1.3142 GiB/s	0 GiB/s	0 GiB/s	0.2680 GiB/s	0.3218 GiB/s	3.8952 GiB/s	4.3892 GiB/s	0.0640 GiB/s	0.0640 GiB/s	160.9897 GiB/s	0.2209 GiB/s	0 GiB/s	0 GiB/s	1.3142 GiB/s	0.35%	21.33%	0.00%	0.01%	0.00%	21.75%	0.00%	0.00%	0.00%	0.07%	90.13%	0.00%	0.00%	
-	3851 Compute Encoder 0 0x79f00e580	4.763%	100.00%	100.00%	0.0248 GiB/s	0.0013 GiB/s	0.0235 GiB/s	0.0117 GiB/s	512 bytes	9.06 KiB	512 bytes	4.00 KiB	100.00%	77.63 	0 bytes	0 bytes	0 bytes	0.00%	341.62 KiB	2.12 KiB	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	1.02%	1.02%	0.31%	75.21%	3.70%	0.02%	3.70%	0.00%	4.59%	0.32%	0.32%	0.32%	3.71%	0.02%	0.00%	4.06%	0.32%	0.10%	4.24%	26.1335 GiB/s	183.6553 GiB/s	0.6570 GiB/s	0.6776 GiB/s	0.6776 GiB/s	0.6776 GiB/s	7.7645 GiB/s	7.7734 GiB/s	9.6375 GiB/s	8.8943 GiB/s	7.7627 GiB/s	8.5270 GiB/s	0.0502 GiB/s	0.0502 GiB/s	157.7835 GiB/s	0.2110 GiB/s	0 GiB/s	0 GiB/s	0.6776 GiB/s	0.39%	21.85%	0.00%	0.00%	0.22%	22.56%	0.00%	0.00%	0.00%	0.10%	100.00%	0.04%	0.00%	
-	5096 Compute Encoder 0 0x79f00e940	4.826%	100.00%	100.00%	0.0154 GiB/s	0.0013 GiB/s	0.0141 GiB/s	0.0136 GiB/s	512 bytes	5.44 KiB	512 bytes	10.12 KiB	100.00%	80.23 	0 bytes	0 bytes	0 bytes	0.00%	25.38 KiB	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	66.21%	0.85%	0.85%	0.56%	93.33%	0.00%	0.03%	2.38%	0.00%	0.14%	0.58%	0.58%	0.58%	0.01%	0.03%	0.00%	2.67%	0.58%	0.12%	0.16%	5.9948 GiB/s	162.4085 GiB/s	0.9434 GiB/s	0.9729 GiB/s	0.9729 GiB/s	0.9729 GiB/s	0.0076 GiB/s	0.0085 GiB/s	0.2310 GiB/s	0.2691 GiB/s	4.0040 GiB/s	4.4923 GiB/s	0.0509 GiB/s	0.0508 GiB/s	157.1715 GiB/s	0.2012 GiB/s	0 GiB/s	0 GiB/s	0.9729 GiB/s	0.34%	21.94%	0.00%	0.01%	0.00%	22.35%	0.00%	0.00%	0.00%	0.06%	100.00%	0.00%	0.00%	
-	6329 Compute Encoder 0 0x79f00ed00	4.533%	100.00%	100.00%	0.2761 GiB/s	0.0351 GiB/s	0.2410 GiB/s	0.4064 GiB/s	13.19 KiB	90.56 KiB	426.06 KiB	92.62 KiB	57.02%	79.19 	37.31 KiB	0 bytes	0 bytes	0.00%	0 bytes	256 bytes	4.00 KiB	4.00 KiB	0 bytes	0 bytes	0.00%	0.00%	98.23%	0.79%	0.79%	0.63%	91.85%	0.00%	0.03%	2.49%	0.00%	0.14%	0.65%	0.65%	0.65%	0.00%	0.03%	0.00%	2.80%	0.65%	1.22%	0.17%	7.6160 GiB/s	149.1444 GiB/s	0.9819 GiB/s	1.0126 GiB/s	1.0126 GiB/s	1.0126 GiB/s	0 GiB/s	0 GiB/s	0.2188 GiB/s	0.2608 GiB/s	3.9066 GiB/s	4.3858 GiB/s	0.0515 GiB/s	0.0515 GiB/s	143.9855 GiB/s	1.9052 GiB/s	0 GiB/s	0 GiB/s	1.0126 GiB/s	0.35%	20.65%	0.00%	0.01%	0.00%	21.07%	0.00%	0.00%	0.00%	0.06%	100.00%	0.00%	0.00%	
-	7539 Compute Encoder 0 0x79f00f0c0	4.007%	86.12%	86.12%	0.2294 GiB/s	0.2187 GiB/s	0.0107 GiB/s	8.5305 GiB/s	72.75 KiB	3.56 KiB	19.38 KiB	589.12 KiB	40.91%	80.37 	0 bytes	0 bytes	0 bytes	0.00%	0 bytes	2.50 KiB	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	95.88%	1.04%	1.04%	1.22%	81.04%	1.86%	0.03%	1.89%	0.00%	4.31%	0.57%	0.57%	0.57%	2.11%	0.44%	0.00%	2.15%	0.57%	0.10%	4.28%	21.0684 GiB/s	197.3487 GiB/s	2.6555 GiB/s	1.2409 GiB/s	1.2409 GiB/s	1.2409 GiB/s	4.0705 GiB/s	4.5997 GiB/s	9.4178 GiB/s	9.3501 GiB/s	4.1248 GiB/s	4.6921 GiB/s	0.0688 GiB/s	0.9615 GiB/s	177.0113 GiB/s	0.2239 GiB/s	0 GiB/s	0 GiB/s	1.2409 GiB/s	0.35%	22.22%	0.00%	0.01%	0.13%	22.80%	0.00%	0.00%	0.00%	0.09%	86.12%	0.00%	0.00%	
-	8772 Compute Encoder 0 0x79f00f480	4.915%	98.20%	98.20%	0.0990 GiB/s	0.0017 GiB/s	0.0973 GiB/s	6.1590 GiB/s	704 bytes	39.19 KiB	704 bytes	1.42 MiB	58.29%	80.22 	0 bytes	0 bytes	0 bytes	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	29.49%	0.87%	0.87%	0.55%	93.46%	0.05%	0.03%	2.23%	0.00%	0.17%	0.57%	0.57%	0.57%	0.08%	0.03%	0.00%	2.53%	0.57%	0.12%	0.19%	6.0237 GiB/s	165.1845 GiB/s	0.9464 GiB/s	0.9760 GiB/s	0.9760 GiB/s	0.9760 GiB/s	0.0784 GiB/s	0.1328 GiB/s	0.2848 GiB/s	0.3245 GiB/s	3.8112 GiB/s	4.3334 GiB/s	0.0547 GiB/s	0.0548 GiB/s	160.0092 GiB/s	0.2023 GiB/s	0 GiB/s	0 GiB/s	0.9760 GiB/s	0.33%	22.22%	0.00%	0.01%	0.01%	22.62%	0.00%	0.00%	0.00%	0.07%	98.20%	0.00%	0.00%	
-	10012 Compute Encoder 0 0x79f00f840	4.514%	93.94%	93.94%	1.9674 GiB/s	0.0014 GiB/s	1.9660 GiB/s	0.0145 GiB/s	512 bytes	727.12 KiB	321.12 KiB	4.88 KiB	100.00%	79.94 	0 bytes	0 bytes	0 bytes	0.00%	0 bytes	384 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	1.08%	1.08%	1.16%	87.12%	0.80%	0.03%	2.45%	0.00%	1.84%	0.70%	0.70%	0.70%	0.99%	0.18%	0.00%	2.79%	0.70%	0.12%	1.83%	14.5672 GiB/s	206.1227 GiB/s	2.5601 GiB/s	1.5358 GiB/s	1.5358 GiB/s	1.5358 GiB/s	1.7657 GiB/s	2.1758 GiB/s	4.0580 GiB/s	4.0330 GiB/s	5.4084 GiB/s	6.1577 GiB/s	0.0666 GiB/s	0.4082 GiB/s	192.2640 GiB/s	0.2566 GiB/s	0 GiB/s	0 GiB/s	1.5358 GiB/s	0.47%	26.10%	0.00%	0.01%	0.05%	26.74%	0.00%	0.00%	0.00%	0.09%	93.94%	0.00%	0.00%	
-	10974 Compute Encoder 0 0x79f00fac0	9.740%	100.00%	100.00%	1.1356 GiB/s	0.0007 GiB/s	1.1349 GiB/s	0.0123 GiB/s	512 bytes	786.69 KiB	37.00 KiB	17.44 KiB	52.94%	78.46 	0 bytes	0 bytes	0 bytes	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	1.73%	1.73%	0.00%	83.22%	0.00%	0.00%	6.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.93%	0.00%	2.01%	0.00%	36.8434 GiB/s	333.5399 GiB/s	0.0002 GiB/s	0.0002 GiB/s	0.0002 GiB/s	0.0002 GiB/s	0 GiB/s	0 GiB/s	0.0162 GiB/s	0.0179 GiB/s	25.2730 GiB/s	29.3610 GiB/s	0.0032 GiB/s	0.0032 GiB/s	308.2473 GiB/s	7.4612 GiB/s	0 GiB/s	0 GiB/s	0.0002 GiB/s	1.78%	59.44%	0.00%	0.00%	0.00%	61.29%	0.00%	0.00%	0.00%	0.06%	100.00%	0.00%	0.00%	
